image,cls,defect_px,pred_px,specificity,sensitivity,precision,F1_score,F2_score,DSC,F_beta,MAE,acc,MAE_prob,F_beta_corr,degenerate
exp6_num_86064,Crack,168,122,0.9999999999800032,0.7261904718679139,0.9999999918032788,0.8413793964327689,0.7682619650273779,0.8413793108917955,0.9199536673540853,0.0009167729591836735,0.9990832270408163,0.0009263761865204787,0.9199536673540853,False
exp6_num_265737,Crack,179,98,0.9999799987799272,0.5418994383134109,0.9897959082673887,0.7003612013991519,0.5958230963196276,0.7003610119120541,0.8312460740787423,0.0016541772959183674,0.9983458227040817,0.0016479388125581731,0.8312460740787423,False
exp5_num_85642,Crack,141,149,0.9986009792945219,0.5602836839696193,0.530201338723481,0.5448279998527219,0.5539971955764416,0.5448275877764566,0.5368537504949353,0.0026307397959183672,0.9973692602040817,0.0026441864370827187,0.5368537504949353,False
exp2_num_86854,Crack,191,91,0.9999199759727935,0.45549737981414984,0.9560439455379787,0.6170215435390444,0.5087719303990972,0.6170212779538252,0.7626436036952592,0.002152423469387755,0.9978475765306123,0.0021330781637050504,0.7626436036952592,False
exp5_num_116575,Crack,115,150,0.9991410479015772,0.9304347745179585,0.7133333285777779,0.8075472807968379,0.8770491805294276,0.8075471705375579,0.7539297489978103,0.001016422193877551,0.9989835778061225,0.001014136315532256,0.7539297489978103,False
exp1_num_86828,Crack,165,71,0.9998400351722653,0.38181817950413227,0.8873239311644517,0.5338986678171903,0.4309165534460786,0.5338983070597529,0.679668536786974,0.002192283163265306,0.9978077168367347,0.0021850562572509648,0.679668536786974,False
exp6_num_85665,Crack,198,122,0.9999999999799912,0.6161616130496889,0.9999999918032788,0.7625001421874131,0.6673960616330459,0.7625000007421875,0.8743110460298174,0.0015146683673469387,0.9984853316326531,0.001526017918946705,0.8743110460298174,False
exp5_num_32201,Crack,349,266,0.9996186806149353,0.7077363876569158,0.9285714250805586,0.8032521501470224,0.7430806259066903,0.8032520328402406,0.8661992154368805,0.0024115114795918366,0.9975884885204082,0.0024159009317838926,0.8661992154368805,False
exp1_num_3191,Crack,208,95,0.9996397694324439,0.370192305912537,0.8105263072576179,0.5082512382103208,0.4153182314829361,0.5082508267054429,0.6359599275377773,0.002969547193877551,0.9970304528061225,0.0029903610513867117,0.6359599275377773,False
exp3_num_258867,Free,0,0,0.9999999999800702,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.101417801073795e-06,1.0,False
exp6_num_174804,Free,0,0,0.9999999999800702,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.2100144678696026e-06,1.0,False
exp4_num_180371,Free,0,0,0.9999999999800702,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.081053279658913e-06,1.0,False
exp4_num_316737,Free,0,0,0.9999999999800702,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.860830594782135e-06,1.0,False
exp6_num_37675,Free,0,0,0.9999999999800702,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.331361477559541e-06,1.0,False
exp3_num_269121,Free,0,0,0.9999999999800702,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.010358351247072e-06,1.0,False
exp3_num_316726,Free,0,0,0.9999999999800702,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.068801778289381e-06,1.0,False
exp2_num_275393,Free,0,0,0.9999999999800702,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.129014529576488e-06,1.0,False
exp2_num_306443,Free,0,0,0.9999999999800702,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,9.107818473511945e-06,1.0,False
exp2_num_193126,Free,0,0,0.9999999999800702,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.7826125985454686e-06,1.0,False
exp6_num_316778,Free,0,0,0.9999999999800702,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0067584093892435e-06,1.0,False
exp5_num_183254,Free,0,180,0.996412627531162,0.0,0.0,1.0,5.555555524691358e-09,5.555555524691358e-09,1.0,0.003587372448979592,0.9964126275510204,0.003571332121829388,0.0,True
exp1_num_316698,Free,0,0,0.9999999999800702,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.672721436297106e-06,1.0,False
exp2_num_262233,Free,0,0,0.9999999999800702,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.291052455758221e-06,1.0,False
exp1_num_118871,Free,0,0,0.9999999999800702,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.025105689714122e-06,1.0,False
exp4_num_117012,Free,0,0,0.9999999999800702,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.017552791817113e-06,1.0,False
exp1_num_71177,Free,0,6,0.9998804208984399,0.0,0.0,1.0,1.666666388888935e-07,1.666666388888935e-07,1.0,0.00011957908163265306,0.9998804209183674,0.00013443328769567297,0.0,True
